Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,202.916397,207.169876,199.163315,201.290054,108.966896,2845964
1999-01-05,201.290054,206.043961,200.414337,205.543549,111.269508,2102125
1999-01-06,206.419266,209.922134,205.543549,209.546829,113.436630,2575087
1999-01-07,206.419266,208.045593,204.042313,206.043961,111.540359,2045371
1999-01-08,205.918854,207.294983,200.914749,204.918030,110.930908,2557951
1999-01-11,202.165771,204.918030,197.787186,199.538620,108.018753,2983502
1999-01-12,199.163315,200.664551,194.409409,195.660446,105.919334,2683748
1999-01-13,190.155930,197.161667,188.279388,193.283493,104.632629,3517363
1999-01-14,194.159210,196.661255,192.783081,194.284317,105.174362,2528375
1999-01-15,197.912292,202.040680,196.911469,201.665359,109.170090,2992694
1999-01-19,202.165771,203.667007,199.288422,203.041489,109.915024,2488108
1999-01-20,203.792114,204.542725,198.913116,200.914749,108.763748,3007832
1999-01-21,200.914749,202.666183,198.162491,198.788010,107.612411,2438998
1999-01-22,197.787186,199.788834,194.909821,195.910645,106.054802,2419514
1999-01-25,196.160858,202.916397,196.160858,201.164948,108.899185,2303560
1999-01-26,201.164948,204.417618,200.039032,204.167419,110.524544,2416367
1999-01-27,205.918854,206.169052,203.166595,203.166595,109.982742,2226073
1999-01-28,203.667007,208.546005,203.667007,207.044785,112.082191,2204141
1999-01-29,207.169876,210.172348,204.667831,209.922134,113.639748,2777371
1999-02-01,210.047241,210.047241,204.417618,204.542725,110.727699,2303060
1999-02-02,204.167419,204.792923,199.538620,204.167419,110.524544,2350371
1999-02-03,203.416809,209.546829,202.916397,205.918854,111.472656,2356266
1999-02-04,206.043961,207.169876,199.663727,200.414337,108.492790,2358964
1999-02-05,199.538620,200.414337,193.158386,196.160858,106.190262,3382724
1999-02-08,196.536163,197.912292,193.658798,195.285141,105.716164,2245757
1999-02-09,194.159210,195.910645,191.782257,192.157562,104.023094,2111917
1999-02-10,191.657166,197.411880,191.657166,196.035751,106.122559,2158029
1999-02-11,196.035751,200.414337,194.784729,200.164139,108.357407,1948551
1999-02-12,199.788834,199.788834,192.783081,195.410233,105.783852,2416117
1999-02-16,197.286774,200.039032,194.784729,198.162491,107.273819,2138745
1999-02-17,196.661255,202.916397,196.160858,198.788010,107.612411,2340679
1999-02-18,200.164139,202.916397,197.036575,201.415161,109.034653,2122009
1999-02-19,201.039856,203.041489,199.913925,200.914749,108.763748,2178412
1999-02-22,200.914749,208.170700,200.539444,208.170700,112.691650,2937989
1999-02-23,207.169876,209.171524,204.417618,206.169052,111.608078,2411371
1999-02-24,206.169052,209.046417,201.540268,202.165771,109.440964,2297315
1999-02-25,201.415161,203.416809,196.285950,200.914749,108.763748,3063536
1999-02-26,202.165771,203.041489,197.787186,200.789642,108.695984,2599866
1999-03-01,200.414337,203.291702,197.161667,202.040680,109.373207,2184507
1999-03-02,203.041489,203.667007,197.286774,198.788010,107.612411,2084140
1999-03-03,198.162491,200.414337,195.285141,197.662079,107.002937,2529124
1999-03-04,198.037384,201.415161,197.662079,201.164948,109.286514,2249004
1999-03-05,204.167419,207.920502,203.917206,207.545181,112.752747,2814940
1999-03-08,208.045593,210.922958,207.420090,209.797028,113.976051,3471101
1999-03-09,208.796219,214.550934,208.420898,212.173981,115.267365,3209416
1999-03-10,212.549286,213.049698,209.922134,211.673569,114.995544,3855586
1999-03-11,213.299911,215.676849,211.923782,214.300720,116.422707,2699585
1999-03-12,215.426651,217.553391,214.300720,214.926239,116.762611,3118241
1999-03-15,216.177261,220.680954,216.177261,220.430756,119.753029,3073078
1999-03-16,220.430756,220.806061,218.554214,220.180542,119.617165,2322144
1999-03-17,220.180542,220.180542,215.801956,217.052979,117.918030,2349822
1999-03-18,216.177261,220.806061,215.927063,220.180542,119.617165,2221976
1999-03-19,223.057907,226.060364,222.682602,224.183838,121.791931,4651633
1999-03-22,222.682602,223.808517,220.931168,220.931168,120.024895,1872363
1999-03-23,221.306473,221.306473,212.299088,213.299911,115.879036,2650475
1999-03-24,213.299911,214.550934,211.673569,213.675217,116.082939,2062807
1999-03-25,215.551758,218.929520,215.301544,217.178085,117.985985,2207438
1999-03-26,217.553391,217.928696,214.676041,215.801956,117.238335,1524799
1999-03-29,216.177261,224.934448,216.177261,224.183838,121.791931,2547459
1999-03-30,223.683426,227.811813,221.431580,226.810989,123.219185,2541714
1999-03-31,228.187119,228.562424,220.931168,221.431580,120.296745,2711225
